Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
BestMatch,9.42329,Exact,0,Lepidium ruderale L.,Lepidium ruderale L.,Lepidium ruderale,6PBC8,Lepidium ruderale L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Lepidieae|Lepidium|Lepidium ruderale,
BestMatch,9.42329,Exact,0,Lepidium sativum L.,Lepidium sativum L.,Lepidium sativum,6PBBR,Lepidium sativum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Lepidieae|Lepidium|Lepidium sativum,
BestMatch,9.42329,Exact,0,Lepidium trianae Thell.,Lepidium trianae Thell.,Lepidium trianae,6PB48,Lepidium trianae Thell.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Lepidieae|Lepidium|Lepidium trianae,
BestMatch,9.42329,Exact,0,Lobularia maritima (L.) Desv.,Lobularia maritima (L.) Desv.,Lobularia maritima,72LQZ,Lobularia maritima (L.) Desv.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Anastaticeae|Lobularia|Lobularia maritima,
BestMatch,9.42329,Exact,0,Lunaria annua L.,Lunaria annua L.,Lunaria annua,6R28C,Lunaria annua L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Biscutelleae|Lunaria|Lunaria annua,
BestMatch,9.42191,Exact,0,Matthiola incana (L.) R.Br.,Matthiola incana (L.) R.Br.,Matthiola incana,8207952,Matthiola incana (L.) R.Br.,false,11,GBIF Backbone Taxonomy,Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Matthiola|Matthiola incana,
BestMatch,9.42260,Exact,0,Nasturtium officinale R.Br.,Nasturtium officinale R.Br.,Nasturtium officinale,wfo-0000380323-2025-06,Nasturtium officinale R.Br.,false,196,World Flora Online,Plantae|Pteridobiotina|Angiosperms|Brassicales|Brassicaceae|Brassicoideae|Camelinodae|Cardamineae|Nasturtium|Nasturtium officinale,
BestMatch,9.42329,Exact,0,Raphanus raphanistrum L.,Raphanus raphanistrum L.,Raphanus raphanistrum,4RJXQ,Raphanus raphanistrum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Brassiceae|Brassicinae|Raphanus|Raphanus raphanistrum,
BestMatch,9.42329,Exact,0,Raphanus sativus L.,Raphanus sativus L.,Raphanus sativus,4RJXT,Raphanus sativus L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Brassiceae|Brassicinae|Raphanus|Raphanus sativus,
BestMatch,9.42329,Exact,0,Rapistrum rugosum (L.) All.,Rapistrum rugosum (L.) All.,Rapistrum rugosum,4RKXB,Rapistrum rugosum (L.) All.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Brassiceae|Rapistrinae|Rapistrum|Rapistrum rugosum,
BestMatch,9.42329,Exact,0,Rorippa dubia (Pers.) H.Hara,Rorippa dubia (Pers.) H.Hara,Rorippa dubia,4TCP8,Rorippa dubia (Pers.) H.Hara,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Cardamineae|Rorippa|Rorippa dubia,
BestMatch,9.42329,Exact,0,Rorippa indica (L.) Hiern,Rorippa indica (L.) Hiern,Rorippa indica,4TCPT,Rorippa indica (L.) Hiern,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Cardamineae|Rorippa|Rorippa indica,
BestMatch,9.42329,Exact,0,Rorippa mandonii (E.Fourn.) Mart.-Laborde,Rorippa mandonii (E.Fourn.) Mart.-Laborde,Rorippa mandonii,6X8DP,Rorippa mandonii (E.Fourn.) Mart.-Laborde,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Cardamineae|Rorippa|Rorippa mandonii,
BestMatch,9.42226,Exact,0,Rorippa mexicana (DC.) Standl. & Steyerm.,Rorippa mexicana (DC.) Standl. & Steyerm.,Rorippa mexicana,4102980,,false,165,Tropicos,,
BestMatch,9.42329,Exact,0,Rorippa nana (Schltdl.) J.F.Macbr.,Rorippa nana (Schltdl.) J.F.Macbr.,Rorippa nana,4TCQN,Rorippa nana (Schltdl.) J.F.Macbr.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Cardamineae|Rorippa|Rorippa nana,
BestMatch,9.42329,Exact,0,Rorippa palustris (L.) Besser,Rorippa palustris (L.) Besser,Rorippa palustris,4TCR2,Rorippa palustris (L.) Besser,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Cardamineae|Rorippa|Rorippa palustris,
BestMatch,9.42329,Exact,0,Rorippa pinnata (Sessé & Moc.) Rollins,Rorippa pinnata (Sessé & Moc.) Rollins,Rorippa pinnata,4TCR7,Rorippa pinnata (Sessé & Moc.) Rollins,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Cardamineae|Rorippa|Rorippa pinnata,
BestMatch,9.42329,Exact,0,Sinapis alba L.,Sinapis alba L.,Sinapis alba,4XJCN,Sinapis alba L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Brassiceae|Rapistrinae|Sinapis|Sinapis alba,
BestMatch,9.42329,Exact,0,Sisymbrium officinale (L.) Scop.,Sisymbrium officinale (L.) Scop.,Sisymbrium officinale,4XS49,Sisymbrium officinale (L.) Scop.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Sisymbrieae|Sisymbrium|Sisymbrium officinale,
BestMatch,9.42329,Exact,0,Thlaspi arvense L.,Thlaspi arvense L.,Thlaspi arvense,56HZF,Thlaspi arvense L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassicoideae|Thlaspieae|Thlaspi|Thlaspi arvense,
BestMatch,9.42329,Exact,0,Aechmea gamosepala Wittm.,Aechmea gamosepala Wittm.,Aechmea gamosepala,64THD,Aechmea gamosepala Wittm.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Aechmea|Aechmea gamosepala,
BestMatch,9.42329,Exact,0,Aechmea pineliana (Brongn. ex Planch.) Baker,Aechmea pineliana (Brongn. ex Planch.) Baker,Aechmea pineliana,657DD,Aechmea pineliana (Brongn. ex Planch.) Baker,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Aechmea|Aechmea pineliana,
BestMatch,9.42295,Exact,0,Aechmea veitchii Baker,Aechmea veitchii Baker,Aechmea veitchii,64V67,Ronnbergia veitchii (Baker) Aguirre-Santoro,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Ronnbergia|Ronnbergia veitchii,
BestMatch,9.42329,Exact,0,Catopsis nutans (Sw.) Griseb.,Catopsis nutans (Sw.) Griseb.,Catopsis nutans,RVPG,Catopsis nutans (Sw.) Griseb.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Catopsis|Catopsis nutans,
BestMatch,9.42329,Exact,0,Greigia mulfordii L.B.Sm.,Greigia mulfordii L.B.Sm.,Greigia mulfordii,3HCD3,Greigia mulfordii L.B.Sm.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Greigia|Greigia mulfordii,
BestMatch,9.42329,Exact,0,Greigia sodiroana Mez,Greigia sodiroana Mez,Greigia sodiroana,3HCDC,Greigia sodiroana Mez,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Greigia|Greigia sodiroana,
